,unique_dates,tweets_each_day,days_to_election
0,2020-09-30,39,34
1,2019-11-21,35,348
2,2020-10-06,31,28
3,2020-03-16,27,232
4,2020-03-04,27,244
5,2020-08-18,25,77
6,2020-08-28,25,67
7,2020-01-15,24,293
8,2019-12-20,24,319
9,2020-08-20,23,75
10,2020-08-21,22,74
11,2020-09-18,21,46
12,2020-03-03,20,245
13,2020-02-20,20,257
14,2020-02-26,19,251
15,2020-08-19,19,76
16,2020-04-25,18,192
17,2020-02-08,17,269
18,2020-08-31,16,64
19,2020-08-12,16,83
20,2019-10-16,15,384
21,2020-02-27,15,250
22,2020-02-21,15,256
23,2020-07-28,15,98
24,2020-04-08,15,209
25,2019-11-12,14,357
26,2019-10-23,14,377
27,2019-11-01,14,368
28,2020-09-09,14,55
29,2020-10-01,14,33
30,2020-03-11,14,237
31,2020-05-14,13,173
32,2020-08-07,13,88
33,2020-09-01,13,63
34,2020-09-17,13,47
35,2020-08-27,13,68
36,2020-09-24,13,40
37,2019-11-15,12,354
38,2020-05-27,12,160
39,2020-08-04,12,91
40,2019-12-12,12,327
41,2020-03-02,12,246
42,2020-03-06,12,242
43,2020-03-18,12,230
44,2020-05-20,12,167
45,2019-10-25,11,375
46,2020-02-28,11,249
47,2020-04-16,11,201
48,2020-05-15,11,172
49,2020-02-03,11,274
50,2020-09-15,11,49
51,2020-05-22,11,165
52,2020-07-09,11,117
53,2019-10-30,11,370
54,2020-03-01,11,247
55,2019-11-02,11,367
56,2020-02-11,11,266
57,2020-06-11,11,145
58,2020-04-03,11,214
59,2020-03-09,11,239
60,2020-04-22,11,195
61,2020-09-16,11,48
62,2020-06-05,11,151
63,2019-10-18,10,382
64,2020-06-18,10,138
65,2020-05-01,10,186
66,2020-04-24,10,193
67,2019-10-28,10,372
68,2020-04-09,10,208
69,2019-12-06,10,333
70,2020-03-19,10,229
71,2020-04-14,10,203
72,2020-10-05,10,29
73,2020-03-22,10,226
74,2020-03-23,10,225
75,2020-03-26,10,222
76,2020-06-02,10,154
77,2020-09-22,10,42
78,2020-02-23,10,254
79,2020-02-12,10,265
80,2020-01-31,10,277
81,2020-09-29,10,35
82,2020-03-15,10,233
83,2020-04-01,10,216
84,2020-05-08,10,179
85,2020-04-13,10,204
86,2020-08-14,10,81
87,2020-07-21,10,105
88,2020-04-29,9,188
89,2020-09-07,9,57
90,2020-09-13,9,51
91,2020-08-29,9,66
92,2020-06-06,9,150
93,2020-08-05,9,90
94,2020-08-26,9,69
95,2020-09-10,9,54
96,2020-05-11,9,176
97,2019-12-11,9,328
98,2020-02-18,9,259
99,2020-04-23,9,194
100,2020-07-22,9,104
101,2019-10-17,9,383
102,2020-08-25,9,70
103,2020-02-29,9,248
104,2020-02-13,9,264
105,2020-06-16,9,140
106,2020-05-06,9,181
107,2020-06-19,9,137
108,2020-07-23,9,103
109,2019-11-05,9,364
110,2019-11-04,9,365
111,2020-09-02,9,62
112,2020-03-20,9,228
113,2020-03-12,9,236
114,2020-07-30,9,96
115,2020-07-29,9,97
116,2020-05-21,9,166
117,2020-05-29,9,158
118,2020-03-30,9,218
119,2020-03-24,9,224
120,2019-12-05,9,334
121,2020-09-20,9,44
122,2020-06-09,9,147
123,2020-04-15,9,202
124,2020-01-17,9,291
125,2019-11-13,9,356
126,2020-02-04,9,273
127,2020-05-24,9,163
128,2019-10-29,9,371
129,2020-04-30,9,187
130,2020-05-03,9,184
131,2020-03-27,9,221
132,2019-12-02,9,337
133,2019-11-26,9,343
134,2020-04-28,9,189
135,2020-04-20,9,197
136,2020-08-13,9,82
137,2020-09-26,9,38
138,2020-02-22,8,255
139,2020-09-03,8,61
140,2020-10-03,8,31
141,2019-11-18,8,351
142,2020-02-06,8,271
143,2020-08-16,8,79
144,2020-08-09,8,86
145,2020-03-21,8,227
146,2020-04-19,8,198
147,2020-02-14,8,263
148,2020-07-01,8,125
149,2020-10-02,8,32
150,2020-03-08,8,240
151,2020-04-21,8,196
152,2020-05-07,8,180
153,2020-05-19,8,168
154,2019-11-07,8,362
155,2019-11-08,8,361
156,2020-07-02,8,124
157,2020-06-25,8,131
158,2020-05-12,8,175
159,2020-01-30,8,278
160,2020-03-31,8,217
161,2020-09-11,8,53
162,2020-01-24,8,284
163,2020-03-28,8,220
164,2020-04-02,8,215
165,2020-06-12,8,144
166,2020-07-07,8,119
167,2020-09-04,8,60
168,2020-05-17,8,170
169,2020-07-31,8,95
170,2020-06-04,8,152
171,2020-09-08,8,56
172,2020-05-02,8,185
173,2020-07-17,8,109
174,2020-03-05,8,243
175,2020-02-01,8,276
176,2020-04-04,8,213
177,2020-08-06,8,89
178,2019-12-18,8,321
179,2020-01-29,8,279
180,2020-08-08,8,87
181,2020-08-22,8,73
182,2020-02-02,8,275
183,2020-04-10,8,207
184,2020-01-21,8,287
185,2020-09-14,8,50
186,2020-05-13,8,174
187,2020-06-24,8,132
188,2020-03-25,8,223
189,2020-06-23,8,133
190,2020-05-28,7,159
191,2019-10-24,7,376
192,2019-10-19,7,381
193,2020-01-07,7,301
194,2020-09-23,7,41
195,2020-04-17,7,200
196,2019-12-16,7,323
197,2019-12-23,7,316
198,2020-06-20,7,136
199,2020-07-03,7,123
200,2020-06-27,7,129
201,2020-08-15,7,80
202,2020-07-13,7,113
203,2019-12-17,7,322
204,2019-10-27,7,373
205,2020-07-08,7,118
206,2020-05-09,7,178
207,2020-05-18,7,169
208,2020-04-05,7,212
209,2019-12-19,7,320
210,2020-06-30,7,126
211,2020-07-14,7,112
212,2020-07-11,7,115
213,2020-03-17,7,231
214,2019-11-03,7,366
215,2020-08-03,7,92
216,2020-05-10,7,177
217,2020-01-02,7,306
218,2020-03-10,7,238
219,2020-05-16,7,171
220,2019-11-22,7,347
221,2019-10-22,7,378
222,2020-07-05,7,121
223,2020-07-26,7,100
224,2020-02-25,7,252
225,2020-02-05,7,272
226,2020-06-29,7,127
227,2020-09-25,7,39
228,2020-06-22,7,134
229,2019-10-26,7,374
230,2020-01-16,7,292
231,2019-10-31,7,369
232,2020-10-04,7,30
233,2020-06-10,7,146
234,2020-07-20,7,106
235,2019-12-15,7,324
236,2020-06-13,7,143
237,2020-08-17,7,78
238,2020-02-19,7,258
239,2020-09-28,7,36
240,2019-11-11,7,358
241,2020-07-12,7,114
242,2020-06-03,7,153
243,2020-04-06,7,211
244,2020-03-07,7,241
245,2020-01-23,7,285
246,2020-08-30,7,65
247,2019-11-29,7,340
248,2020-01-14,7,294
249,2019-12-09,7,330
250,2020-04-27,7,190
251,2020-02-24,7,253
252,2020-08-01,6,94
253,2020-04-18,6,199
254,2019-12-03,6,336
255,2020-07-10,6,116
256,2020-01-09,6,299
257,2020-01-22,6,286
258,2019-11-06,6,363
259,2020-02-15,6,262
260,2020-04-12,6,205
261,2020-07-15,6,111
262,2020-06-26,6,130
263,2020-04-26,6,191
264,2020-01-28,6,280
265,2019-10-21,6,379
266,2019-12-04,6,335
267,2020-06-17,6,139
268,2019-11-14,6,355
269,2020-07-25,6,101
270,2020-02-07,6,270
271,2020-05-04,6,183
272,2019-11-10,6,359
273,2020-04-11,6,206
274,2020-06-15,6,141
275,2020-01-11,6,297
276,2020-09-12,6,52
277,2020-08-10,6,85
278,2019-11-25,6,344
279,2020-01-27,6,281
280,2020-09-06,6,58
281,2020-08-23,6,72
282,2020-02-17,6,260
283,2019-11-30,6,339
284,2019-11-20,6,349
285,2019-12-13,6,326
286,2020-05-05,6,182
287,2020-07-24,6,102
288,2020-09-19,6,45
289,2020-05-23,6,164
290,2020-05-26,6,161
291,2020-05-30,6,157
292,2020-09-27,6,37
293,2019-12-10,6,329
294,2020-02-16,6,261
295,2019-11-16,6,353
296,2020-08-02,6,93
297,2020-06-07,6,149
298,2020-01-03,6,305
299,2020-08-11,6,84
300,2019-11-27,6,342
301,2020-01-13,5,295
302,2020-01-12,5,296
303,2020-07-19,5,107
304,2020-07-04,5,122
305,2019-12-30,5,309
306,2020-01-04,5,304
307,2019-12-31,5,308
308,2020-01-25,5,283
309,2020-10-07,5,27
310,2019-12-14,5,325
311,2020-01-19,5,289
312,2020-06-08,5,148
313,2020-02-09,5,268
314,2020-03-29,5,219
315,2020-01-06,5,302
316,2020-06-21,5,135
317,2020-02-10,5,267
318,2019-12-08,5,331
319,2020-07-16,5,110
320,2020-07-27,5,99
321,2020-07-06,5,120
322,2020-09-05,5,59
323,2019-11-24,5,345
324,2019-11-09,5,360
325,2020-06-28,5,128
326,2020-03-14,5,234
327,2020-06-14,5,142
328,2019-11-17,5,352
329,2019-12-07,5,332
330,2020-01-20,5,288
331,2020-01-18,5,290
332,2020-04-07,5,210
333,2020-01-08,4,300
334,2019-11-23,4,346
335,2019-10-20,4,380
336,2019-11-19,4,350
337,2020-01-10,4,298
338,2019-12-28,4,311
339,2019-12-27,4,312
340,2020-03-13,4,235
341,2020-09-21,4,43
342,2020-07-18,4,108
343,2019-12-22,4,317
344,2020-08-24,3,71
345,2020-01-26,3,282
346,2020-05-25,3,162
347,2020-06-01,3,155
348,2019-12-29,3,310
349,2019-12-01,3,338
350,2020-01-05,3,303
351,2019-12-21,3,318
352,2019-12-24,3,315
353,2019-12-25,2,314
354,2019-12-26,2,313
355,2019-11-28,2,341
356,2020-05-31,2,156
357,2020-01-01,2,307
